date,temp,pH,cond,HDO_mgl,HDO_percentSat,salinity,DO
2022-08-15 13:00:00,22.4,7.85913933,47320.0,6.57,90.4,30.82,6.535454545454565
2022-08-15 13:30:00,22.56,7.849079365,47330.0,6.47,89.4,30.83,6.616433566433585
2022-08-15 14:00:00,22.57,7.8590194,47320.0,6.4,88.4,30.82,6.688671328671347
2022-08-15 14:30:00,22.71,7.868959436,47330.0,6.53,90.4,30.83,6.69060606060608
2022-08-15 15:00:00,22.9,7.858899471,47340.0,6.63,92.2,30.83,6.628018648018667
2022-08-15 15:30:00,22.92,7.868839506,47300.0,6.85,95.2,30.8,6.535547785547804
2022-08-15 16:00:00,23.06,7.858779541,47430.0,6.83,95.3,30.89,6.416480186480204
2022-08-15 16:30:00,23.16,7.818719577,47290.0,6.29,87.7,30.79,6.254848484848503
2022-08-15 17:00:00,23.28,7.738659612,47260.0,5.43,75.9,30.77,6.036876456876474
2022-08-15 17:30:00,23.41,7.738599647,47290.0,5.61,78.7,30.79,5.917459207459224
2022-08-15 18:00:00,23.65,7.768539683,47290.0,5.94,83.6,30.78,5.689836829836846
2022-08-15 18:30:00,23.62,7.748479718,47270.0,5.65,79.4,30.77,5.368531468531483
2022-08-15 19:00:00,23.64,7.738419753,47320.0,5.51,77.6,30.8,5.239300699300714
2022-08-15 19:30:00,23.72,7.738359788,47300.0,5.51,77.6,30.79,5.239743589743605
2022-08-15 20:00:00,23.7,7.708299824,47350.0,4.31,60.8,30.82,5.122051282051297
2022-08-15 20:30:00,23.73,7.788239859,47320.0,4.48,63.1,30.81,5.044825174825189
2022-08-15 21:00:00,23.71,7.848179894,47450.0,5.79,81.6,30.9,5.156806526806541
2022-08-15 21:30:00,23.61,7.818119929,47370.0,5.72,80.5,30.84,5.333613053613068
2022-08-15 22:00:00,23.47,7.778059965,47390.0,5.25,73.7,30.86,5.526923076923093
2022-08-15 22:30:00,23.17,7.858,47480.0,5.67,79.2,30.93,5.824685314685331
2022-08-15 23:00:00,22.96,7.867940035,47400.0,6.09,84.8,30.87,5.977296037296053
2022-08-15 23:30:00,22.79,7.867880071,47380.0,5.9,81.9,30.86,5.940699300699317
2022-08-16 00:00:00,22.73,7.877820106,47380.0,5.85,81.0,30.86,5.871142191142209
